model,question_id,mutation_type,plain_human_label,plain_judge_label,plain_judge_match,plain_error_type(A.错误实体B.数值/单位错误C.自相矛盾或夹杂错误事实D.答非所问/误解问题E.拒答/没回答F.截断/格式错乱G.题目或标准答案有歧义),plain_truncated,plain_reason,mutation_human_label,mutation_judge_label,mutation_judge_match,mutation_error_type(A.错误实体B.数值/单位错误C.自相矛盾或夹杂错误事实D.答非所问/误解问题E.拒答/没回答F.截断/格式错乱G.题目或标准答案有歧义),mutation_truncated,mutation_reason
qwen0.5b,1,zh_en_mix,正确,正确,1,NONE,0,NONE,错误,错误,1,D,0,回答没有准确回答问题问的具体问题
qwen0.5b,12,zh_en_mix,正确,正确,1,NONE,0,NONE,错误,错误,1,A,0,回答内容不符合客观事实
qwen0.5b,26,json,错误,错误,1,A,0,回答与客观事实不符,正确,正确,1,NONE,0,NONE
qwen0.5b,37,multi_turn,正确,正确,1,NONE,0,NONE,部分正确,错误,0,C,0,核心内容回答正确，但附加内容有误
qwen0.5b,48,zh_en_mix,正确,正确,1,NONE,0,NONE,正确,错误,0,NONE,0,回答是正确的，但裁判没有灵活识别
qwen0.5b,60,zh_en_mix,错误,错误,1,D,0,只是说与问题相关的事情，没有回答问题,错误,错误,1,D,0,回答的内容与历史事实不符
qwen0.5b,74,json,错误,错误,1,A,0,回答与客观事实不符,正确,正确,1,NONE,0,NONE
qwen0.5b,88,markdown,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen0.5b,97,code_block,错误,错误,1,A,0,回答与客观事实不符,错误,错误,1,A,0,回答与客观事实不符
qwen0.5b,111,multi_turn,错误,错误,1,A,0,回答与客观事实不符,错误,错误,1,A,0,回答与客观事实不符
qwen0.5b,123,markdown,部分正确,错误,0,C,0,主要问题回答对，附加内容错误,正确,正确,1,NONE,0,NONE
qwen0.5b,136,markdown,正确,正确,1,NONE,0,NONE,正确,错误,0,NONE,0,裁判没有灵活识别答案
qwen0.5b,144,json,错误,错误,1,A,0,回答与客观事实不符,错误,错误,1,A,0,回答与客观事实不符
qwen0.5b,161,code_block,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen0.5b,170,zh_en_mix,正确,正确,1,NONE,0,NONE,错误,错误,1,E,0,无法回答该问题
qwen0.5b,180,json,正确,正确,1,NONE,0,NONE,错误,错误,1,A,0,回答与客观事实不符
qwen0.5b,196,multi_turn,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen0.5b,209,zh_en_mix,部分正确,错误,0,C,0,主要内容回答正确，但附加内容不准确,正确,正确,1,NONE,0,NONE
qwen0.5b,219,code_block,错误,错误,1,A,0,回答与客观事实不符,错误,错误,1,A,0,回答与客观事实不符
qwen0.5b,229,markdown,错误,错误,1,A,0,回答与客观事实不符,错误,错误,1,A,0,回答与客观事实不符
qwen0.5b,241,zh_en_mix,错误,错误,1,A,0,回答与客观事实不符,错误,正确,0,A,0,回答不正确，但裁判宽容地认为是对的
qwen0.5b,256,markdown,正确,正确,1,NONE,0,NONE,错误,错误,1,C,0,回答内容为错误事实
qwen0.5b,266,json,错误,错误,1,A,0,回答与客观事实不符,错误,错误,1,A,0,回答与客观事实不符
qwen0.5b,276,zh_en_mix,正确,正确,1,NONE,0,NONE,错误,错误,1,E,0,无法提供答案
qwen0.5b,290,json,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,1,zh_en_mix,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,12,zh_en_mix,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,26,json,错误,正确,0,A,0,回答与客观事实不符,错误,笼统,0,A,0,回答与事实不符，但裁判宽容地认为是对的
qwen1.5b,37,multi_turn,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,48,zh_en_mix,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,60,zh_en_mix,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,74,json,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,88,markdown,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,97,code_block,错误,错误,1,A,0,回答与客观事实不符,错误,错误,1,A,0,回答与客观事实不符
qwen1.5b,111,multi_turn,部分正确,错误,0,C,0,主要问题回答正确，附加内容有误,正确,正确,1,NONE,0,NONE
qwen1.5b,123,markdown,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,136,markdown,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,144,json,正确,正确,1,NONE,0,NONE,错误,错误,1,A,0,回答与客观事实不符
qwen1.5b,161,code_block,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,170,zh_en_mix,正确,错误,0,NONE,0,裁判没有灵活识别答案,正确,正确,1,NONE,0,NONE
qwen1.5b,180,json,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,196,multi_turn,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,209,zh_en_mix,正确,正确,1,A,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,219,code_block,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,229,markdown,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,241,zh_en_mix,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
qwen1.5b,256,markdown,正确,正确,1,NONE,0,NONE,正确,正确,1,NONE,0,NONE
